date,season,avg_temperature_c,holiday_flag,holiday_name,event_type
2023-11-29,Autumn,27.9,0,,
2023-11-30,Autumn,23.7,0,,
2023-12-01,Winter,13.4,0,,
2023-12-02,Winter,12.7,0,,
2023-12-03,Winter,12.0,0,,
2023-12-04,Winter,17.1,0,,
2023-12-05,Winter,11.3,0,,
2023-12-06,Winter,12.9,0,,
2023-12-07,Winter,17.7,0,,
2023-12-08,Winter,17.9,0,,
2023-12-09,Winter,10.7,0,,
2023-12-10,Winter,11.9,0,,
2023-12-11,Winter,16.2,0,,
2023-12-12,Winter,17.0,0,,
2023-12-13,Winter,10.5,0,,
2023-12-14,Winter,13.5,0,,
2023-12-15,Winter,16.2,0,,
2023-12-16,Winter,14.1,0,,
2023-12-17,Winter,17.7,0,,
2023-12-18,Winter,11.2,0,,
2023-12-19,Winter,15.8,0,,
2023-12-20,Winter,13.6,0,,
2023-12-21,Winter,17.3,0,,
2023-12-22,Winter,11.4,0,,
2023-12-23,Winter,15.6,0,,
2023-12-24,Winter,12.2,0,,
2023-12-25,Winter,15.5,1,Christmas,Festival
2023-12-26,Winter,12.5,0,,
2023-12-27,Winter,13.2,0,,
2023-12-28,Winter,11.9,0,,
2023-12-29,Winter,12.4,0,,
2023-12-30,Winter,15.4,0,,
2023-12-31,Winter,13.0,0,,
